Quote,Author,Tag
"“Though these words will never find you, I hope that you knew I was thinking of you today….. and that I was wishing you every happiness.Love Always,The girl you loved once.”",Ranata Suzuki,love-quotes
“I am a wild woman. it would take a warrior to tame my spirit.”,Nikki Rowe,love-quotes
"“I think it's hard for you to fall in love because you like control, and you can't control what another person does or feels, so you keep all your cards.”","Tarryn Fisher,",love-quotes
"“And I fear that my place gets taken by some other one, very lucky and not too shy, who flirts with your eyes while I’m the one who’s crazy about them.”",Nizar Qabbani,love-quotes
“funny how our heartswere designed to loveso fiercely.but break ever so gently.”,Sanober Khan,love-quotes
“He was both everything I could ever want…And nothing I could ever have…”,Ranata Suzuki,love-quotes
"“If you walked away from atoxic, negative, abusive,one-sided, dead-endlow vibrationalrelationship or friendship — you won.”",Lalah Delia,love-quotes
“I had embraced you...long before i hugged you.”,"Sanober Khan,",love-quotes
“I raised you so high that every other man on earth is now doomed to live in your shadow.”,Ranata Suzuki,love-quotes
"“When you start giving, instead of getting, you make a difference. You can always give a warm smile, a sincere hello, a positive vibe… your attention, your time, your love, and kindness to those around you.”",Roy T. Bennett,love-quotes
“i writebecauseit is the only wayi can reach you.”,Sanober Khan,love-quotes
"“When did you first fall in love?""""I think, I first fell in lovewhen I was in fifth gradewith this boy who kept his glass ruler in the sunlight and made rainbows on my desk with it.”","Saiber,",love-quotes
“those broken girls have the deepest love.”,R.H. Sin,love-quotes
"“She will blaze through you like a gypsy wildfire. Igniting you soul and dancing in its flames. And when she is gone, the smell of her smoke will be the only thing left to soothe you.”",Nicole  Lyons,love-quotes
"“I can't explain why your name seems so familiar to me, or why it feels like I've heard your voice a thousand times before, but I can explain this ~ your the type of chaos Id bleed for.”",Nikki Rowe,love-quotes
"“It’s painful, loving someone from afar.Watching them – from the outside.The once familiar elements of their life reduced to nothing more than occasional mentions in conversations and faces changing in photographs…..They exist to you now as nothing more than living proof that something can still hurt you … with no contact at all.”",Ranata Suzuki,love-quotes
"“To me, you were more than just a person. You were a place where I finally felt at home.”",Denice Envall,love-quotes
“The absence of a message sometimes is a presence of one.”,Hasse Jerner,love-quotes
“the intensityin your eyesburns my penas i write.”,"Sanober Khan,",love-quotes
“When it comes to lovedo not eversettle for anythingless than magical.”,Sanober Khan,love-quotes
“You want to be free. You also want to be mine. You can't be both.”,"Nenia Campbell,",love-quotes
“You can run from the truth. You can run and hide from the truth.You can deny and avoid the truth. But you cannot destroy the truth. Nor can you make the lie true. You must know that love will always uncover the truth.”,"Delano Johnson,",love-quotes
“I would have followed you to hell and back... if only you'd lead me back.”,Ranata Suzuki,love-quotes
"“Some people come in your life and make you believe that your life is incomplete without them. Then they leave, creating a void in your heart that may fill back with time but will never be complete.”","Anmol Rawat,",love-quotes
“I spend most nights at home falling in love with the idea of you.”,Michael Faudet,love-quotes
"“It was easy to be good and kind in times of plenty. The trying times were the moments that defined a man.And love? Love was something that did much to change a person. It brought joy as it brought suffering, and in turn brought about those moments that defined one’s character. Love gave life to the lifeless. It was the greatest of all living powers.But, as with all things, love had a dark side to it.”","Renee Ahdieh,",love-quotes
"“A girl who travels will need someone that questions her, not too little, and not too much. She’ll need someone to read her, but also really listen to her. Because she’ll want to do the same. She’ll want a person that shares an interest but at the same time stays genuine to who they are. Not drown in a puddle of narcissism. And not drown in a lake of fascination.”",lauren klarfeld,love-quotes
"“Farsi Couplet:Mun tu shudam tu mun shudi,mun tun shudam tu jaan shudiTaakas na guyad baad azeen, mun deegaram tu deegariEnglish Translation:I have become you, and you me,I am the body, you soul;So that no one can say hereafter,That you are someone, and me someone else.”","Amir Khusrau,",love-quotes
"“It wasn't exactly love at first sight, but it was deeper than that. A sense of belonging to a place I never knew I wanted but somehow always needed. It was a home that carried a heartbeat.”",Nikki Rowe,love-quotes
"“There is nothing right or wrong in love. Where there is love, then there is nothing but only love.”","Sara Naveed,",love-quotes
"“You can't buy the love you want, you can't sell your love. Love is given by those who deserves it.”",Jayson Engay,love-quotes
"“Her hands crept around his neck, tangling in his hair to keep him closer, even though she knew that beautiful boys with expiration dates couldn't be held, only borrowed for a time.”",Martina Boone,love-quotes
"“I am not a day dreamer, I am a believer, that after every painful love I have gone through, it is just an experience to crack open the deepest parts of my core and allow to me to delve into a passion so rare, that I will find a love that was almost, never meant to be.”",Nikki Rowe,love-quotes
"“It hurts to let go, to say goodbye for the final time and remain distant in your closure, it may even tear your heart out to the point of insanity; but somehow in it all you find the pieces of your worth and you start creating yourself again, and in that journey of transformation you find the essence of what truly matters, inner happiness. It's life, we all fall at some stage but it's up to you, to decide how long you want to stay there.”",Nikki Rowe,love-quotes
"“Every night, I laid awake with your memories flooding through my eyes with the hope to be with you when sleep arrived.”","Anmol Rawat,",love-quotes
"“If you don't love yourself, you won't be happy with yourself. If you can't love yourself, you can't love anyone else. You can't give the love you do not have. You can't make anyone love you without loving yourself first.”",Kemi Sogunle,love-quotes
"“Dancing, at its best, is independence and intimacy in balance.”","Donna Goddard,",love-quotes
“Even the smallest changes in our daily routine can create incredible ripple effects that expand our vision of what is possible.”,"Charles F. Glassman,",love-quotes
"“In love, treat your relationship as if you are growing the most beautiful flower. Keep watering it, tend to its roots, give it lots of sunlight, and always make sure the petals are full of color and are never curling. Once you neglect your plant, it will die, as will your relationship.”","Suzy Kassem,",love-quotes
"“I love to walk. Walking is a spiritual journey and a reflection of living. Each of us must determine which path to take and how far to walk; we must find our own way, what is right for one may not be for another. There is no single right way to deal with late stage cancer, to live life or approach death, or to walk an old mission trail.”","Edie Littlefield Sundby,",love-quotes
"“But some relationships aren't meant to last.They are worthy only till the time the two persons involved have time for each other.They do not know eternity. They live for the present, the ""now"". And when distance plays it part, or life turns out to be busy, they fall apart.And may be that's why they're never termed ""LOVE"". They simply remain what they were - mere RELATIONSHIPS.”",Sanhita Baruah,love-quotes
"“Before I can become an expert on anything, I must first become an expert on me.”","Charles F. Glassman,",love-quotes
“I know love is real because her love is visible.”,Delano Johnson poet,love-quotes
"“Home for me is not where I am. Home for me is a physical structure where the girl whom I love is sheltered and protected from the incoming storms of life. Home for me is not where I am safe, but where she is safe. Home for me is not where she exists, but where she lives. She is my home.”","Juansen Dizon,",love-quotes
“Sometimes what seems so right turns out wrong and what seems so wrong turns out right. What do I call this phenomenon? Life.”,"Charles F. Glassman,",love-quotes
