Quote,Author,Tag
"“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”","Henri Nouwen,",inspirational
"“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”","Nicholas Sparks,",inspirational
“Well-behaved women seldom make history.”,"Laurel Thatcher Ulrich,",inspirational
"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”",Mahatma Gandhi,inspirational
"“Nothing is impossible, the word itself says 'I'm possible'!”",Audrey Hepburn,inspirational
"“So we beat on, boats against the current, borne back ceaselessly into the past.”","F. Scott Fitzgerald,",inspirational
"“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”",Herbert Bayard Swope,inspirational
"“[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!”","Jack Kerouac,",inspirational
“Do what you feel in your heart to be right – for you’ll be criticized anyway.”,Eleanor Roosevelt,inspirational
“Happiness is not something ready made. It comes from your own actions.”,Dalai Lama XIV,inspirational
“Peace begins with a smile..”,Mother Teresa,inspirational
"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",Gustave Flaubert,inspirational
"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",Margaret Mead,inspirational
"“Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”","John Green,",inspirational
“What lies behind us and what lies before us are tiny matters compared to what lies within us.”,Ralph Waldo Emerson,inspirational
