Quote,Author,Tag
"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”","Roy T. Bennett,",inspiration
"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”","Roy T. Bennett,",inspiration
"“Pursue what catches your heart, not what catches your eyes.”","Roy T. Bennett,",inspiration
"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",Roy T. Bennett,inspiration
"“Success is not how high you have climbed, but how you make a positive difference to the world.”","Roy T. Bennett,",inspiration
"“No amount of regretting can change the past, and no amount of worrying can change the future.”","Roy T. Bennett,",inspiration
“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,"Roy T. Bennett,",inspiration
“Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.”,"Roy T. Bennett,",inspiration
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,",inspiration
“Romance is the glamour which turns the dust of everyday life into a golden haze. ”,Elinor Glyn,inspiration
“Do not fear failure but rather fear not trying.”,"Roy T. Bennett,",inspiration
"“For me, I am driven by two main philosophies: know more today about the world than I knew yesterday and lessen the suffering of others. You'd be surprised how far that gets you.”",Neil deGrasse Tyson,inspiration
“The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.”,Jordan Belfort,inspiration
"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”","Roy T. Bennett,",inspiration
“Be brave to stand for what you believe in even if you stand alone.”,"Roy T. Bennett,",inspiration
"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”","Roy T. Bennett,",inspiration
"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.”",F. Scott Fitzgerald,inspiration
“The soul is healed by being with children.”,Fyodor Dostoevsky,inspiration
“Start each day with a positive thought and a grateful heart.”,"Roy T. Bennett,",inspiration
"“Tomorrow will be better.”“But what if it’s not?” I asked.“Then you say it again tomorrow. Because it might be. You never know, right? At some point, tomorrow will be better.”","Morgan Matson,",inspiration
“It's hard to beat a person who never gives up.”,George Herman Ruth,inspiration
"“You cannot control the behavior of others, but you can always choose how you respond to it.”","Roy T. Bennett,",inspiration
"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”","Roy T. Bennett,",inspiration
“Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,"Roy T. Bennett,",inspiration
“To shine your brightest light is to be who you truly are.”,Roy T. Bennett,inspiration
"“Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Don’t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.”","Roy T. Bennett,",inspiration
“Never lose hope. Storms make people stronger and never last forever.”,"Roy T. Bennett,",inspiration
"“When someone tells me ""no,"" it doesn't mean I can't do it, it simply means I can't do it with them.”",Karen E. Quinones Miller,inspiration
“Sometimes you have to lose all you have to find out who you truly are.”,"Roy T. Bennett,",inspiration
“Be thankful for everything that happens in your life; it’s all an experience.”,Roy T. Bennett,inspiration
“You are not rich until you have a rich heart.”,"Roy T. Bennett,",inspiration
"“You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You, yourself, as much as anybody in the entire universe, deserve your love and affection.”",Sharon Salzberg,inspiration
