Quote,Author,Tag
"“Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Don’t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.”","Roy T. Bennett,",life-lessons
“Never lose hope. Storms make people stronger and never last forever.”,"Roy T. Bennett,",life-lessons
"“So it’s true, when all is said and done, grief is the price we pay for love.”","E.A. Bucchianeri,",life-lessons
“Sometimes you have to lose all you have to find out who you truly are.”,"Roy T. Bennett,",life-lessons
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,"Roy T. Bennett,",life-lessons
"“Stop comparing yourself to other people, just choose to be happy and live your own life.”","Roy T. Bennett,",life-lessons
"“In everybody’s life there’s a point of no return. And in a very few cases, a point where you can’t go forward anymore. And when we reach that point, all we can do is quietly accept the fact. That’s how we survive.”","Haruki Murakami,",life-lessons
"“[H]iding how you really feel and trying to make everyone happy doesn't make you nice, it just makes you a liar.”","Jenny O'Connell,",life-lessons
“It is better to live your own destiny imperfectly than to live an imitation of somebody else's life with perfection.”,"Anonymous,",life-lessons
“You've got to get obsessed and stay obsessed.”,"John Irving,",life-lessons
"“If you believe very strongly in something, stand up and fight for it.”","Roy T. Bennett,",life-lessons
"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”","Roy T. Bennett,",life-lessons
"“Maturity is when you stop complaining and making excuses, and start making changes.”","Roy T. Bennett,",life-lessons
"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”","Roy T. Bennett,",life-lessons
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,"Roy T. Bennett,",life-lessons
“Do Not Lie to Yourself We have to be honest about what we want and take risks rather than lie to ourselves and make excuses to stay in our comfort zone.”,"Roy T. Bennett,",life-lessons
"“Do what you love, love what you do, and with all your heart give yourself to it.”","Roy T. Bennett,",life-lessons
"“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”","Roy T. Bennett,",life-lessons
"“There were people who went to sleep last night, poor and rich and white and black, but they will never wake again. And those dead folks would give anything at all for just five minutes of this weather or ten minutes of plowing. So you watch yourself about complaining. What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it.”",Maya Angelou,life-lessons
"“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”","Roy T. Bennett,",life-lessons
"“You’ll learn, as you get older, that rules are made to be broken. Be bold enough to live life on your terms, and never, ever apologize for it. Go against the grain, refuse to conform, take the road less traveled instead of the well-beaten path. Laugh in the face of adversity, and leap before you look. Dance as though EVERYBODY is watching. March to the beat of your own drummer. And stubbornly refuse to fit in.”","Mandy Hale,",life-lessons
“The outer world is a reflection of the inner world. Other people’s perception of you is a reflection of them; your response to them is an awareness of you.”,"Roy T. Bennett,",life-lessons
"“Never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning.”","Roy T. Bennett,",life-lessons
“Nothing can disturb your peace of mind unless you allow it to.”,"Roy T. Bennett,",life-lessons
"“Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.”","Steve Maraboli,",life-lessons
“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,"Roy T. Bennett,",life-lessons
"“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”","Roy T. Bennett,",life-lessons
"“Friends are the family you choose (~ Nin/Ithilnin, Elven rogue).”","Jess C Scott,",life-lessons
“I don't care what you say to me. I care what you share with me.”,"Santosh Kalwar,",life-lessons
"“First, let no one rule your mind or body. Take special care that your thoughts remain unfettered... . Give men your ear, but not your heart. Show respect for those in power, but don't follow them blindly. Judge with logic and reason, but comment not. Consider none your superior whatever their rank or station in life. Treat all fairly, or they will seek revenge. Be careful with your money. Hold fast to your beliefs and others will listen.”","Christopher Paolini,",life-lessons
“Kindness is not a business. True kindness expects nothing in return and should never act with conditions.”,"Roy T. Bennett,",life-lessons
"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”","Roy T. Bennett,",life-lessons
“Smile more. Smiling can make you and others happy.”,"Roy T. Bennett,",life-lessons
“Certain things in life simply have to be experienced -and never explained. Love is such a thing.”,"Paulo Coelho,",life-lessons
"“Perfectionism is the enemy of happiness. Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you’ll be happier. We make mistakes because we are imperfect. Learn from your mistakes, forgive yourself, and keep moving forward.”","Roy T. Bennett,",life-lessons
“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”,"Roy T. Bennett,",life-lessons
"“The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.”","Roy T. Bennett,",life-lessons
"“Patience Is Not the Ability to Wait: Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting.”","Roy T. Bennett,",life-lessons
"“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”","Roy T. Bennett,",life-lessons
“You are in charge of your own happiness; you don't need to wait for other people's permission to be happy.”,"Roy T. Bennett,",life-lessons
“I have learned all kinds of things from my many mistakes. The one thing I never learn is to stop making them.”,"Joe Abercrombie,",life-lessons
"“You Are the Master of Your AttitudeYou cannot control what happens to you, but you can control the way you think about all the events. You always have a choice. You can choose to face them with a positive mental attitude.”","Roy T. Bennett,",life-lessons
“Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.”,Roy T. Bennett,life-lessons
"“You don't have to disrespect and insult others simply to hold your own ground. If you do, that shows how shaky your own position is.”",Red Haircrow,life-lessons
"“Everyone you meet is a part of your journey, but not all of them are meant to stay in your life. Some people are just passing through to bring you gifts; either they're blessings or lessons.”","Roy T. Bennett,",life-lessons
"“A smile puts you on the right track. A smile makes the world a beautiful place. When you lose your smile, you lose your way in the chaos of life.”","Roy T. Bennett,",life-lessons
"“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”","Roy T. Bennett,",life-lessons
"“You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.”","Roy T. Bennett,",life-lessons
"“Count your blessings, not your problems. Count your own blessings, not someone else's. Remember that jealousy is when you count someone else's blessings instead of your own.”","Roy T. Bennett,",life-lessons
