Quote,Author,Tag
"“No amount of regretting can change the past, and no amount of worrying can change the future.”","Roy T. Bennett,",inspirational-quotes
“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,"Roy T. Bennett,",inspirational-quotes
“Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.”,"Roy T. Bennett,",inspirational-quotes
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,",inspirational-quotes
“Do not fear failure but rather fear not trying.”,"Roy T. Bennett,",inspirational-quotes
"“Pain is a pesky part of being human, I've learned it feels like a stab wound to the heart, something I wish we could all do without, in our lives here. Pain is a sudden hurt that can't be escaped. But then I have also learned that because of pain, I can feel the beauty, tenderness, and freedom of healing. Pain feels like a fast stab wound to the heart. But then healing feels like the wind against your face when you are spreading your wings and flying through the air! We may not have wings growing out of our backs, but healing is the closest thing that will give us that wind against our faces.”",C. JoyBell C.,inspirational-quotes
"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”","Roy T. Bennett,",inspirational-quotes
“Be brave to stand for what you believe in even if you stand alone.”,"Roy T. Bennett,",inspirational-quotes
"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”","Roy T. Bennett,",inspirational-quotes
"“No matter what happens, or how bad it seems today, life does go on, and it will be better tomorrow.”",Maya Angelou,inspirational-quotes
“Start each day with a positive thought and a grateful heart.”,"Roy T. Bennett,",inspirational-quotes
"“You cannot control the behavior of others, but you can always choose how you respond to it.”","Roy T. Bennett,",inspirational-quotes
"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”","Roy T. Bennett,",inspirational-quotes
“Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,"Roy T. Bennett,",inspirational-quotes
“To shine your brightest light is to be who you truly are.”,Roy T. Bennett,inspirational-quotes
"“Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Don’t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.”","Roy T. Bennett,",inspirational-quotes
“Never lose hope. Storms make people stronger and never last forever.”,"Roy T. Bennett,",inspirational-quotes
“Sometimes you have to lose all you have to find out who you truly are.”,"Roy T. Bennett,",inspirational-quotes
“Be thankful for everything that happens in your life; it’s all an experience.”,Roy T. Bennett,inspirational-quotes
“You are not rich until you have a rich heart.”,"Roy T. Bennett,",inspirational-quotes
"“Last night I lost the world, and gained the universe.”",C. JoyBell C.,inspirational-quotes
"“Time doesn’t heal emotional pain, you need to learn how to let go.”","Roy T. Bennett,",inspirational-quotes
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,"Roy T. Bennett,",inspirational-quotes
"“Stop comparing yourself to other people, just choose to be happy and live your own life.”","Roy T. Bennett,",inspirational-quotes
“Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now.”,Roy T. Bennett,inspirational-quotes
"“True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing. The greatest blessings of mankind are within us and within our reach. A wise man is content with his lot, whatever it may be, without wishing for what he has not.”",Seneca,inspirational-quotes
"“There is some kind of a sweet innocence in being human- in not having to be just happy or just sad- in the nature of being able to be both broken and whole, at the same time.”",C. JoyBell C.,inspirational-quotes
“Help others without any reason and give without the expectation of receiving anything in return.”,"Roy T. Bennett,",inspirational-quotes
"“I think that we are like stars. Something happens to burst us open; but when we burst open and think we are dying; we’re actually turning into a supernova. And then when we look at ourselves again, we see that we’re suddenly more beautiful than we ever were before!”",C. JoyBell C.,inspirational-quotes
"“They say a good love is one that sits you down, gives you a drink of water, and pats you on top of the head. But I say a good love is one that casts you into the wind, sets you ablaze, makes you burn through the skies and ignite the night like a phoenix; the kind that cuts you loose like a wildfire and you can't stop running simply because you keep on burning everything that you touch! I say that's a good love; one that burns and flies, and you run with it!”",C. JoyBell C.,inspirational-quotes
"“Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don’t listen to understand. We listen to reply. When we listen with curiosity, we don’t listen with the intent to reply. We listen for what’s behind the words.”","Roy T. Bennett,",inspirational-quotes
"“No one loses anyone, because no one owns anyone. That is the true experience of freedom: having the most important thing in the world without owning it”","Paulo Coelho,",inspirational-quotes
"“Great things happen to those who don't stop believing, trying, learning, and being grateful.”","Roy T. Bennett,",inspirational-quotes
"“If you believe very strongly in something, stand up and fight for it.”","Roy T. Bennett,",inspirational-quotes
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,"Roy T. Bennett,",inspirational-quotes
“It’s your life; you don’t need someone’s permission to live the life you want. Be brave to live from your heart.”,"Roy T. Bennett,",inspirational-quotes
"“You can be the most beautiful person in the world and everybody sees light and rainbows when they look at you, but if you yourself don't know it, all of that doesn't even matter. Every second that you spend on doubting your worth, every moment that you use to criticize yourself; is a second of your life wasted, is a moment of your life thrown away. It's not like you have forever, so don't waste any of your seconds, don't throw even one of your moments away.”",C. JoyBell C.,inspirational-quotes
"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”","Roy T. Bennett,",inspirational-quotes
"“Surround Yourself with People Who Believe in Your Dreams:Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.”","Roy T. Bennett,",inspirational-quotes
"“Maturity is when you stop complaining and making excuses, and start making changes.”","Roy T. Bennett,",inspirational-quotes
"“The more you feed your mind with positive thoughts, the more you can attract great things into your life.”","Roy T. Bennett,",inspirational-quotes
"“People have to forgive. We don't have to like them, we don't have to be friends with them, we don't have to send them hearts in text messages, but we have to forgive them, to overlook, to forget. Because if we don't we are tying rocks to our feet, too much for our wings to carry!”",C. JoyBell C.,inspirational-quotes
"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”","Roy T. Bennett,",inspirational-quotes
"“Home is the place where, when you have to go there, they have to take you in.”",Robert Frost,inspirational-quotes
“I believe there is another world waiting for us. A better world. And I'll be waiting for you there.”,"David Mitchell,",inspirational-quotes
“Happiness depends on your mindset and attitude.”,"Roy T. Bennett,",inspirational-quotes
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,"Roy T. Bennett,",inspirational-quotes
