Quote,Author,Tag
"“I think that we are like stars. Something happens to burst us open; but when we burst open and think we are dying; we’re actually turning into a supernova. And then when we look at ourselves again, we see that we’re suddenly more beautiful than we ever were before!”",C. JoyBell C.,truth
"“Something inside Clary cracked and broke, and words came pouring out. 'What do you want me to tell you? The truth? The truth is that I love Simon like I should love you, and I wish he was my brother and you weren't, but I can't do anything about that and neither can you!”","Cassandra Clare ,",truth
“Sometimes things become possible if we want them bad enough.”,T.S. Eliot,truth
“There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.”,Soren Kierkegaard,truth
“Nothing ever happens like you imagine it will”,"John Green,",truth
"“For me, it is far better to grasp the Universe as it really is than to persist in delusion, however satisfying and reassuring.”","Carl Sagan,",truth
"“Those sweet lips. My, oh my, I could kiss those lips all night long.Good things come to those who wait.”","Jess C. Scott,",truth
“Whatever satisfies the soul is truth.”,Walt Whitman,truth
"“1492. As children we were taught to memorize this year with pride and joy as the year people began living full and imaginative lives on the continent of North America. Actually, people had been living full and imaginative lives on the continent of North America for hundreds of years before that. 1492 was simply the year sea pirates began to rob, cheat, and kill them.”",Kurt Vonnegut,truth
“Perhaps the truth depends on a walk around the lake.”,Wallace Stevens,truth
“There's a world of difference between truth and facts. Facts can obscure truth.”,Maya Angelou,truth
