Quote,Author,Tag
“I write to give myself strength. I write to be the characters that I am not. I write to explore all the things I'm afraid of. ”,Joss Whedon,writing
“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,"Roy T. Bennett,",inspiration
“There is something delicious about writing the first words of a story. You never quite know where they'll take you.”,Beatrix Potter,writing
“Ordinary life is pretty complex stuff.”,Harvey Pekar,writing
"“If you want to write, if you want to create, you must be the most sublime fool that God ever turned out and sent rambling. You must write every single day of your life. You must read dreadful dumb books and glorious books, and let them wrestle in beautiful fights inside your head, vulgar one moment, brilliant the next. You must lurk in libraries and climb the stacks like ladders to sniff books like perfumes and wear books like hats upon your crazy heads. I wish you a wrestling match with your Creative Muse that will last a lifetime. I wish craziness and foolishness and madness upon you. May you live with hysteria, and out of it make fine stories — science fiction or otherwise. Which finally means, may you be in love every day for the next 20,000 days. And out of that love, remake a world.”",Ray Bradbury,writing
"“you can, you should, and if you’re brave enough to start, you will.”","Stephen King,",writing
"“If my doctor told me I had only six minutes to live, I wouldn't brood. I'd type a little faster.”",Isaac Asimov,writing
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli,inspiration
“History will be kind to me for I intend to write it.”,Winston S. Churchill,writing
"“Stories may well be lies, but they are good lies that say true things, and which can sometimes pay the rent.”",Neil Gaiman,writing
"“Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”","Neil Gaiman,",inspiration
"“Acts of Kindness:A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”","Roy T. Bennett,",inspiration
"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","Chad Sugg,",inspiration
“We have to continually be jumping off cliffs and developing our wings on the way down.”,"Kurt Vonnegut,",writing
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,writing
"“It's not the load that breaks you down, it's the way you carry it.”",Lou Holtz,inspiration
"“And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”","Antoine de Saint-Exupéry,",inspiration
"“We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”",Maya Angelou,inspiration
"“One day I will find the right words, and they will be simple.”","Jack Kerouac,",writing
“Don't tell me the moon is shining; show me the glint of light on broken glass.”,Anton Chekhov,writing
"“You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You, yourself, as much as anybody in the entire universe, deserve your love and affection.”",Sharon Salzberg,inspiration
“Write what should not be forgotten.”,Isabel Allende,writing
"“You must write every single day of your life... You must lurk in libraries and climb the stacks like ladders to sniff books like perfumes and wear books like hats upon your crazy heads... may you be in love every day for the next 20,000 days. And out of that love, remake a world.”",Ray Bradbury,writing
"“When someone tells me ""no,"" it doesn't mean I can't do it, it simply means I can't do it with them.”",Karen E. Quinones Miller,inspiration
“So what? All writers are lunatics!”,"Cornelia Funke,",writing
“Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,"Roy T. Bennett,",inspiration
"“Write the kind of story you would like to read. People will give you all sorts of advice about writing, but if you are not writing something you like, no one else will like it either.”",Meg Cabot,writing
"“The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.”","Roy T. Bennett,",inspiration
“A little talent is a good thing to have if you want to be a writer. But the only real requirement is the ability to remember every scar.”,Stephen King,writing
"“If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.”","Kurt Vonnegut,",writing
“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,"Roy T. Bennett,",inspiration
“There are books of which the backs and covers are by far the best parts.”,"Charles Dickens,",writing
"“Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.”",John Steinbeck,writing
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",inspiration
