Quote,Author,Tag
“The true alchemists do not change lead into gold; they change the world into words.”,"William H. Gass,",writing
“Pain is temporary. Quitting lasts forever.”,"Lance Armstrong Sally Jenkins,",inspiration
“She conquered her demons and wore her scars like wings. ”,"Atticus Poetry,",quotes
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,writing
"“I can see how it might be possible for a man to look down upon the earth and be an atheist, but I cannot conceive how a man could look up into the heavens and say there is no God.”",Abraham Lincoln,religion
"“Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.”",John Steinbeck,writing
"“I love quotations because it is a joy to find thoughts one might have, beautifully expressed with much authority by someone recognized wiser than oneself.”",Marlene Dietrich,quotes
“A tamed woman will never leave her mark in the world.”,robert m drake,quotes
"“Atheism is more than just the knowledge that gods do not exist, and that religion is either a mistake or a fraud. Atheism is an attitude, a frame of mind that looks at the world objectively, fearlessly, always trying to understand all things as a part of nature.”",Emmett F. Fields,religion
"“Death is the easy part, the hard part is living and knowing you could be so much more then you’re willing to be.”",robert m drake,quotes
"“The role of a writer is not to say what we can all say, but what we are unable to say.”",Anais Nin,writing
“What a curious power words have.”,"Tadeusz Borowski,",quotes
“Life becomes easier and more beautiful when we can see the good in other people.”,Roy T. Bennett,inspiration
“The scariest moment is always just before you start.”,"Stephen King,",writing
"“It was never about the world being too big, it was more like she was too much for the world to handle.”",robert m drake,quotes
“There is no real ending. It’s just the place where you stop the story.”,Frank Herbert,writing
"“Hate the sin, love the sinner.”",Mahatma Gandhi,religion
"“A book is made from a tree. It is an assemblage of flat, flexible parts (still called ""leaves"") imprinted with dark pigmented squiggles. One glance at it and you hear the voice of another person, perhaps someone dead for thousands of years. Across the millennia, the author is speaking, clearly and silently, inside your head, directly to you. Writing is perhaps the greatest of human inventions, binding together people, citizens of distant epochs, who never knew one another. Books break the shackles of time ― proof that humans can work magic.”",Carl Sagan,writing
"“Make up a story... For our sake and yours forget your name in the street; tell us what the world has been to you in the dark places and in the light. Don't tell us what to believe, what to fear. Show us belief's wide skirt and the stitch that unravels fear's caul.”","Toni Morrison,",writing
“Sometimes to self-discover you must self-destruct.”,robert m drake,quotes
"“People who do a job that claims to be creative have to be alone to recharge their batteries. You can’t live 24 hours a day in the spotlight and remain creative. For people like me, solitude is a victory.”",Karl Lagerfeld,quotes
“How vain it is to sit down to write when you have not stood up to live.”,Henry David Thoreau,writing
“There is an ocean of silence between us… and I am drowning in it.”,Ranata Suzuki,quotes
“I think it’s beautifulthe way you sparkle when you talk about the things you love.”,"Atticus Poetry,",quotes
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,religion
"“Quotation, n: The act of repeating erroneously the words of another.”","Ambrose Bierce,",quotes
"“What an astonishing thing a book is. It's a flat object made from a tree with flexible parts on which are imprinted lots of funny dark squiggles. But one glance at it and you're inside the mind of another person, maybe somebody dead for thousands of years. Across the millennia, an author is speaking clearly and silently inside your head, directly to you. Writing is perhaps the greatest of human inventions, binding together people who never knew each other, citizens of distant epochs. Books break the shackles of time. A book is proof that humans are capable of working magic.""[Cosmos, Part 11: The Persistence of Memory (1980)]”","Carl Sagan,",writing
"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.”",F. Scott Fitzgerald,inspiration
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,",inspiration
"“It’s funny, for all it took was a broken heart and that alone was enough, enough for her to do everything she ever dreamed of.”",robert m drake,quotes
"“Yes, reason has been a part of organized religion, ever since two nudists took dietary advice from a talking snake.”",Jon Stewart,religion
“Write what you know. That should leave you with a lot of free time.”,Howard Nemerov,writing
"“I have no idea what's awaiting me, or what will happen when this all ends. For the moment I know this: there are sick people and they need curing.”","Albert Camus,",religion
“I miss that feeling of connection.Knowing he was out there somewhere thinking about me at the same time I was thinking about him.”,Ranata Suzuki,quotes
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"Roy T. Bennett,",inspiration
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,writing
"“I write differently from what I speak, I speak differently from what I think, I think differently from the way I ought to think, and so it all proceeds into deepest darkness.”",Franz Kafka,writing
“If you’re searching for a quote that puts your feelings into words – you won’t find it.You can learn every language and read every word ever written – but you’ll never find what’s in your heart.How can you?He has it.”,Ranata Suzuki,quotes
"“Understanding is the first step to acceptance, and only with acceptance can there be recovery.”","J.K. Rowling,",inspiration
“Fiction is the truth inside the lie.”,Stephen King,writing
"“Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”",Maya Angelou,inspiration
“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,Roy T. Bennett,inspiration
